data_somministrazione,area,vaccinazioni,booster,cum_vaccinazioni,cum_booster
2021-01-12,SIC,14,0,165,0
2021-01-12,TOS,6,0,81,0
2021-01-12,UMB,2,0,33,0
2021-01-12,VDA,1,0,14,0
2021-01-12,VEN,82,0,1046,0
2021-01-13,ABR,2,0,16,0
2021-01-13,BAS,2,0,8,0
2021-01-13,CAL,5,0,23,0
2021-01-13,CAM,35,0,258,0
2021-01-13,EMR,50,0,310,0
2021-01-13,FVG,9,0,67,0
2021-01-13,LAZ,60,0,289,0
2021-01-13,LIG,6,0,39,0
2021-01-13,LOM,62,0,266,0
2021-01-13,MAR,11,0,35,0
2021-01-13,MOL,1,0,33,0
2021-01-13,PAB,11,0,30,0
2021-01-13,PAT,1,0,20,0
2021-01-13,PIE,22,0,176,0
2021-01-13,PUG,5,0,72,0
2021-01-13,SAR,0,0,23,0
2021-01-13,SIC,11,0,176,0
2021-01-13,TOS,35,0,116,0
2021-01-13,UMB,3,0,36,0
2021-01-13,VDA,0,0,14,0
2021-01-13,VEN,74,0,1120,0
2021-01-14,ABR,1,0,17,0
2021-01-14,BAS,0,0,8,0
2021-01-14,CAL,3,0,26,0
2021-01-14,CAM,23,0,281,0
2021-01-14,EMR,41,0,351,0
2021-01-14,FVG,17,0,84,0
2021-01-14,LAZ,48,0,337,0
2021-01-14,LIG,3,0,42,0
2021-01-14,LOM,84,0,350,0
2021-01-14,MAR,5,0,40,0
2021-01-14,MOL,2,0,35,0
2021-01-14,PAB,11,0,41,0
2021-01-14,PAT,7,0,27,0
2021-01-14,PIE,109,0,285,0
2021-01-14,PUG,6,0,78,0
2021-01-14,SAR,0,0,23,0
2021-01-14,SIC,12,0,188,0
2021-01-14,TOS,2,0,118,0
2021-01-14,UMB,8,0,44,0
2021-01-14,VDA,0,0,14,0
2021-01-14,VEN,107,0,1227,0
2021-01-15,ABR,0,0,17,0
2021-01-15,BAS,0,0,8,0
2021-01-15,CAL,4,0,30,0
2021-01-15,CAM,33,0,314,0
2021-01-15,EMR,14,0,365,0
2021-01-15,FVG,16,0,100,0
2021-01-15,LAZ,18,0,355,0
2021-01-15,LIG,7,0,49,0
2021-01-15,LOM,71,0,421,0
2021-01-15,MAR,6,0,46,0
2021-01-15,MOL,16,0,51,0
2021-01-15,PAB,8,0,49,0
2021-01-15,PAT,2,0,29,0
2021-01-15,PIE,18,0,303,0
2021-01-15,PUG,8,0,86,0
2021-01-15,SAR,4,0,27,0
2021-01-15,SIC,9,0,197,0
2021-01-15,TOS,5,0,123,0
2021-01-15,UMB,2,0,46,0
2021-01-15,VDA,0,0,14,0
2021-01-15,VEN,68,0,1295,0
2021-01-16,ABR,5,0,22,0
2021-01-16,BAS,0,0,8,0
2021-01-16,CAL,1,0,31,0
2021-01-16,CAM,9,0,323,0
2021-01-16,EMR,41,0,406,0
2021-01-16,FVG,3,0,103,0
2021-01-16,LAZ,14,0,369,0
2021-01-16,LIG,5,0,54,0
2021-01-16,LOM,33,0,454,0
2021-01-16,MAR,8,0,54,0
2021-01-16,MOL,3,0,54,0
2021-01-16,PAB,4,0,53,0
2021-01-16,PAT,0,0,29,0
2021-01-16,PIE,14,0,317,0
2021-01-16,PUG,6,0,92,0
2021-01-16,SAR,0,0,27,0
2021-01-16,SIC,7,0,204,0
2021-01-16,TOS,4,0,127,0
2021-01-16,UMB,0,0,46,0
2021-01-16,VDA,0,0,14,0
2021-01-16,VEN,58,0,1353,0
2021-01-17,ABR,7,0,29,0
2021-01-17,BAS,2,0,10,0
2021-01-17,CAL,105,0,136,0
2021-01-17,CAM,456,0,779,0
2021-01-17,EMR,254,0,660,0
2021-01-17,FVG,5,0,108,0
2021-01-17,LAZ,229,0,598,0
2021-01-17,LIG,2,0,56,0
2021-01-17,LOM,212,0,666,0
2021-01-17,MAR,69,0,123,0
2021-01-17,MOL,30,0,84,0
2021-01-17,PAB,13,0,66,0
2021-01-17,PAT,0,0,29,0
2021-01-17,PIE,662,0,979,0
2021-01-17,PUG,70,0,162,0
2021-01-17,SAR,2,0,29,0
2021-01-17,SIC,68,0,272,0
2021-01-17,TOS,519,0,646,0
2021-01-17,UMB,0,0,46,0
2021-01-17,VDA,0,0,14,0
2021-01-17,VEN,355,0,1708,0
2021-01-18,ABR,104,0,133,0
2021-01-18,BAS,99,0,109,0
2021-01-18,CAL,252,0,388,0
2021-01-18,CAM,244,0,1023,0
2021-01-18,EMR,690,0,1350,0
2021-01-18,FVG,101,0,209,0
2021-01-18,LAZ,993,0,1591,0
2021-01-18,LIG,163,0,219,0
2021-01-18,LOM,992,0,1658,0
2021-01-18,MAR,151,0,274,0
2021-01-18,MOL,1,0,85,0
2021-01-18,PAB,6,0,72,0
2021-01-18,PAT,61,0,90,0
2021-01-18,PIE,289,0,1268,0
2021-01-18,PUG,353,0,515,0
2021-01-18,SAR,129,0,158,0
2021-01-18,SIC,170,0,442,0
2021-01-18,TOS,99,0,745,0
2021-01-18,UMB,93,0,139,0
2021-01-18,VDA,0,0,14,0
2021-01-18,VEN,225,0,1933,0
2021-01-19,ABR,21,0,154,0
2021-01-19,BAS,0,0,109,0
2021-01-19,CAL,15,0,403,0
2021-01-19,CAM,31,0,1054,0
2021-01-19,EMR,19,0,1369,0
2021-01-19,FVG,1,0,210,0
2021-01-19,LAZ,462,0,2053,0
2021-01-19,LIG,98,0,317,0
2021-01-19,LOM,491,0,2149,0
2021-01-19,MAR,92,0,366,0
2021-01-19,MOL,11,0,96,0
2021-01-19,PAB,134,0,206,0
2021-01-19,PAT,1,0,91,0
2021-01-19,PIE,25,0,1293,0
2021-01-19,PUG,12,0,527,0
2021-01-19,SAR,57,0,215,0
2021-01-19,SIC,260,0,702,0
2021-01-19,TOS,0,0,745,0
2021-01-19,UMB,0,0,139,0
2021-01-19,VDA,0,0,14,0
2021-01-19,VEN,163,0,2096,0
2021-01-20,ABR,4,0,158,0
2021-01-20,BAS,1,0,110,0
2021-01-20,CAL,3,0,406,0
2021-01-20,CAM,3,0,1057,0
2021-01-20,EMR,3,0,1372,0
2021-01-20,FVG,748,0,958,0
2021-01-20,LAZ,1559,0,3612,0
2021-01-20,LIG,14,0,331,0
2021-01-20,LOM,122,0,2271,0
2021-01-20,MAR,20,0,386,0
2021-01-20,MOL,0,0,96,0
2021-01-20,PAB,212,0,418,0
2021-01-20,PAT,12,0,103,0
2021-01-20,PIE,746,0,2039,0
2021-01-20,PUG,11,0,538,0
2021-01-20,SAR,2,0,217,0
2021-01-20,SIC,289,0,991,0
2021-01-20,TOS,252,0,997,0
2021-01-20,UMB,3,0,142,0
2021-01-20,VDA,0,0,14,0
2021-01-20,VEN,652,0,2748,0
2021-01-21,ABR,0,0,158,0
2021-01-21,BAS,1,0,111,0
2021-01-21,CAL,37,0,443,0
2021-01-21,CAM,1422,0,2479,0
2021-01-21,EMR,1351,0,2723,0
2021-01-21,FVG,905,0,1863,0
2021-01-21,LAZ,5116,0,8728,0
2021-01-21,LIG,433,0,764,0
2021-01-21,LOM,714,0,2985,0
2021-01-21,MAR,331,0,717,0
2021-01-21,MOL,0,0,96,0
2021-01-21,PAB,840,0,1258,0
2021-01-21,PAT,130,0,233,0
2021-01-21,PIE,3578,0,5617,0
2021-01-21,PUG,868,0,1406,0
2021-01-21,SAR,42,0,259,0
2021-01-21,SIC,974,0,1965,0
2021-01-21,TOS,723,0,1720,0
2021-01-21,UMB,292,0,434,0
2021-01-21,VDA,0,0,14,0
2021-01-21,VEN,2248,0,4996,0
2021-01-22,ABR,1,0,159,0
2021-01-22,BAS,0,0,111,0
2021-01-22,CAL,2,0,445,0
2021-01-22,CAM,854,0,3333,0
2021-01-22,EMR,754,0,3477,0
2021-01-22,FVG,96,0,1959,0
2021-01-22,LAZ,3524,0,12252,0
2021-01-22,LIG,499,0,1263,0
2021-01-22,LOM,75,0,3060,0
2021-01-22,MAR,295,0,1012,0
2021-01-22,MOL,0,0,96,0
2021-01-22,PAB,125,0,1383,0
2021-01-22,PAT,1425,0,1658,0
2021-01-22,PIE,1387,0,7004,0
2021-01-22,PUG,426,0,1832,0
2021-01-22,SAR,28,0,287,0
2021-01-22,SIC,1044,0,3009,0
2021-01-22,TOS,2339,0,4059,0
2021-01-22,UMB,264,0,698,0
2021-01-22,VDA,36,0,50,0
2021-01-22,VEN,1046,0,6042,0
2021-01-23,ABR,208,0,367,0
2021-01-23,BAS,739,0,850,0
2021-01-23,CAL,43,0,488,0
2021-01-23,CAM,3571,0,6904,0
2021-01-23,EMR,2010,0,5487,0
2021-01-23,FVG,824,0,2783,0
2021-01-23,LAZ,6634,0,18886,0
2021-01-23,LIG,661,0,1924,0
2021-01-23,LOM,203,0,3263,0
2021-01-23,MAR,437,0,1449,0
2021-01-23,MOL,0,0,96,0
2021-01-23,PAB,196,0,1579,0
2021-01-23,PAT,196,0,1854,0
2021-01-23,PIE,3452,0,10456,0
2021-01-23,PUG,2167,0,3999,0
2021-01-23,SAR,62,0,349,0
2021-01-23,SIC,4313,0,7322,0
2021-01-23,TOS,3334,0,7393,0
2021-01-23,UMB,300,0,998,0
2021-01-23,VDA,0,0,50,0
2021-01-23,VEN,3979,0,10021,0
2021-01-24,ABR,44,0,411,0
2021-01-24,BAS,820,0,1670,0
2021-01-24,CAL,6,0,494,0
2021-01-24,CAM,3748,0,10652,0
2021-01-24,EMR,2150,0,7637,0
2021-01-24,FVG,311,0,3094,0
2021-01-24,LAZ,5093,0,23979,0
2021-01-24,LIG,646,0,2570,0
2021-01-24,LOM,664,0,3927,0
2021-01-24,MAR,879,0,2328,0
2021-01-24,MOL,0,0,96,0
2021-01-24,PAB,12,0,1591,0
2021-01-24,PAT,337,0,2191,0
2021-01-24,PIE,2751,0,13207,0
2021-01-24,PUG,1524,0,5523,0
2021-01-24,SAR,87,0,436,0
2021-01-24,SIC,4225,0,11547,0
2021-01-24,TOS,3150,0,10543,0
2021-01-24,UMB,276,0,1274,0
2021-01-24,VDA,0,0,50,0
2021-01-24,VEN,4058,0,14079,0
2021-01-25,ABR,1593,0,2004,0
2021-01-25,BAS,983,0,2653,0
2021-01-25,CAL,941,0,1435,0
2021-01-25,CAM,5586,0,16238,0
2021-01-25,EMR,6271,0,13908,0
2021-01-25,FVG,1414,0,4508,0
2021-01-25,LAZ,7357,0,31336,0
2021-01-25,LIG,2267,0,4837,0
2021-01-25,LOM,6625,0,10552,0
2021-01-25,MAR,1507,0,3835,0
2021-01-25,MOL,317,0,413,0
2021-01-25,PAB,493,0,2084,0
2021-01-25,PAT,844,0,3035,0
2021-01-25,PIE,5353,0,18560,0
2021-01-25,PUG,3413,0,8936,0
2021-01-25,SAR,589,0,1025,0
2021-01-25,SIC,7205,0,18752,0
2021-01-25,TOS,4892,0,15435,0
2021-01-25,UMB,683,0,1957,0
2021-01-25,VDA,149,0,199,0
2021-01-25,VEN,6238,0,20317,0
2021-01-26,ABR,1522,0,3526,0
2021-01-26,BAS,716,0,3369,0
2021-01-26,CAL,1635,0,3070,0
2021-01-26,CAM,6996,0,23234,0
2021-01-26,EMR,8134,0,22042,0
2021-01-26,FVG,1782,0,6290,0
2021-01-26,LAZ,7256,0,38592,0
2021-01-26,LIG,2481,0,7318,0
2021-01-26,LOM,8057,0,18609,0
2021-01-26,MAR,1943,0,5778,0
2021-01-26,MOL,442,0,855,0
2021-01-26,PAB,814,0,2898,0
2021-01-26,PAT,555,0,3590,0
2021-01-26,PIE,5712,0,24272,0
2021-01-26,PUG,4821,0,13757,0
2021-01-26,SAR,1356,0,2381,0
2021-01-26,SIC,9386,0,28138,0
2021-01-26,TOS,5182,0,20617,0
2021-01-26,UMB,850,0,2807,0
2021-01-26,VDA,148,0,347,0
2021-01-26,VEN,6697,0,27014,0
2021-01-27,ABR,1339,0,4865,0
2021-01-27,BAS,310,0,3679,0
2021-01-27,CAL,1108,0,4178,0
2021-01-27,CAM,7584,0,30818,0
2021-01-27,EMR,7915,0,29957,0
2021-01-27,FVG,836,0,7126,0
2021-01-27,LAZ,5140,0,43732,0
2021-01-27,LIG,1614,0,8932,0
2021-01-27,LOM,7273,0,25882,0
2021-01-27,MAR,2005,0,7783,0
2021-01-27,MOL,670,0,1525,0
2021-01-27,PAB,84,0,2982,0
2021-01-27,PAT,762,0,4352,0
2021-01-27,PIE,3276,0,27548,0
2021-01-27,PUG,3994,0,17751,0
2021-01-27,SAR,1360,0,3741,0
2021-01-27,SIC,7136,0,35274,0
2021-01-27,TOS,4634,0,25251,0
2021-01-27,UMB,873,0,3680,0
2021-01-27,VDA,76,0,423,0
2021-01-27,VEN,6835,0,33849,0
2021-01-28,ABR,1424,0,6289,0
2021-01-28,BAS,808,0,4487,0
2021-01-28,CAL,2226,0,6404,0
2021-01-28,CAM,8712,0,39530,0
2021-01-28,EMR,9921,0,39878,0
2021-01-28,FVG,1919,0,9045,0
2021-01-28,LAZ,7517,0,51249,0
2021-01-28,LIG,2820,0,11752,0
2021-01-28,LOM,11499,0,37381,0
2021-01-28,MAR,1936,0,9719,0
2021-01-28,MOL,599,0,2124,0
2021-01-28,PAB,867,0,3849,0
2021-01-28,PAT,505,0,4857,0
2021-01-28,PIE,5339,0,32887,0
2021-01-28,PUG,5057,0,22808,0
2021-01-28,SAR,2972,0,6713,0
2021-01-28,SIC,8690,0,43964,0
2021-01-28,TOS,5936,0,31187,0
2021-01-28,UMB,1333,0,5013,0
2021-01-28,VDA,239,0,662,0
2021-01-28,VEN,8950,0,42799,0
2021-01-29,ABR,1315,0,7604,0
2021-01-29,BAS,559,0,5046,0
2021-01-29,CAL,1857,0,8261,0
2021-01-29,CAM,10020,0,49550,0
2021-01-29,EMR,10157,0,50035,0
2021-01-29,FVG,2187,0,11232,0
2021-01-29,LAZ,7504,0,58753,0
2021-01-29,LIG,3048,0,14800,0
2021-01-29,LOM,12873,0,50254,0
2021-01-29,MAR,1836,0,11555,0
2021-01-29,MOL,421,0,2545,0
2021-01-29,PAB,1495,0,5344,0
2021-01-29,PAT,1391,0,6248,0
2021-01-29,PIE,5597,0,38484,0
2021-01-29,PUG,6004,0,28812,0
2021-01-29,SAR,3004,0,9717,0
2021-01-29,SIC,8777,0,52741,0
2021-01-29,TOS,5854,0,37041,0
2021-01-29,UMB,1217,0,6230,0
